,mpc_x_0,mpc_x_1,mpc_x_2,mpc_x_3,u_0,u_1,ctg
0,-9319.0,-2515.0,-7589.0,-9897.0,-8.981820311202343e-09,1.2820360963464108e-10,1087037173.6738422
1,-1827787.4628746377,10178618.406544728,-5295946.320525695,20110450.32354978,-1.194368361628446e-07,-2278027.622762649,1087022513.6738422
2,4.156247088866484e-09,2295821.7639449965,356114.8245194418,6693343.949406088,1.2353690768928178e-07,764689.3982220617,1067177098.6057134
3,-3330627.524072252,24231674.236301176,-12710637.497359922,41164097.30147834,1.1126990502369298e-07,-3055094.6258354713,1062122113.6376671
4,-2095092.4430263157,15947415.026982589,-2638032.2206939007,32885002.162561353,1.1297456878751226e-07,162361.9431300219,1019876048.0451434
5,-328197.1928555428,3084467.279647073,194303.76057798104,7051895.98823801,8.231353625636407e-08,1087782.195811425,993012096.1469462
6,-164331.4943916747,63479.60209886035,-18955.968012726767,297705.53740352934,-1.2397978806487664e-07,115212.23510061753,987138772.9383811
7,-965214.2273526805,4528342.476379021,-2535076.5044079414,7694141.787111359,-2.534933392678179e-08,-812679.0690340903,986808930.5198773
8,-34451.177880037925,6722527.551204102,-1728794.7586164228,15284295.342549305,8.872184738472666e-08,-343654.99374390236,978541203.4877348
9,-809513.346351098,7209782.5283025615,-3392890.7870261096,14069617.183266886,1.4253491916520348e-07,-645675.0617854241,966484341.5757378
10,-476915.577595663,4916189.465461315,-1417761.3424330011,9785455.682249242,-2.2711471483470404e-08,102783.49530056954,953420602.1223717
11,-222253.49235992035,1728346.6812908275,-259633.43632379835,3619123.8903072956,-8.144140103271177e-08,196529.85170465105,945071049.3408518
12,-376965.67336469254,2793509.1524083433,-1227760.9114301447,5357835.216479452,1.5803543951620822e-07,-302145.19222437404,942058105.6648585
13,102509.7311410271,-4.59143349802041e-09,461478.5166186953,258042.7958704249,4.5414786195498226e-08,386836.2816962822,937028997.5919049
14,-20445.274032010984,-28940.744200869536,-75910.91146356959,2238.6947840680427,-3.315815207542071e-08,-76366.33864704383,936424563.9292417
15,-254664.03721620815,1453160.3732136453,-776847.3969656954,2920016.6635660552,-3.5637890566089975e-08,-328511.71847601293,936322612.9476779
16,-202075.1122057861,1572614.695367064,-613194.8816221916,3156393.9358827616,-3.9270082491355594e-08,-97684.27735671862,933456012.852959
17,-977917.4805397036,5070262.768269223,-2537703.822779543,9227705.61383057,1.4718151011258105e-08,-812990.3758592939,930635031.4017417
18,-421058.88819118036,6142934.28132318,-1904462.5559358844,11845869.140153354,-9.266823445992958e-08,-37631.8952546971,921321741.3711026
19,-37550.46214992144,2148981.9247653955,-16009.526250425382,5755717.946108914,8.964635596710057e-08,126998.93174634447,911145762.9906734
20,-103432.49295196589,1452293.9090692084,-901913.4651851072,3158024.125206233,-5.12348181772549e-08,-136959.54695171467,907103133.5951629
21,-108550.28353989121,1747522.9792365797,-727312.3627384704,3671318.985879083,2.8625809090433317e-10,-116006.4798559015,904226821.8254807
22,-137419.2782508244,1791310.7447526462,-694410.089811039,3686662.983290019,1.4730966615480448e-07,-105480.65581982052,901041466.2798557
23,-127720.64836922166,1636172.3817856375,-586584.0479740241,3457915.9664340136,-1.0554889938523447e-07,-91054.33955465525,897833824.4038935
24,-164989.07409097167,1891236.5053534147,-761942.5556661768,3835517.8482233677,-5.714060674328799e-08,-135426.58015926805,894884100.7118347
25,-110747.43462184689,1429276.98384675,-463923.5897009093,2997130.0979133276,6.56870498500033e-09,-29644.106570225653,891489544.430088
26,-44444.19725523998,1141845.1217494654,-381642.95321916335,2418767.267211709,-1.4646536634741582e-07,-16488.425407810595,888974183.3237615
27,-153229.0459237523,1516263.0414668089,-641417.2717931365,3044334.35694443,6.41856528210446e-08,-147027.52015121272,886972589.3413397
28,28166.264359111974,380850.55478694063,15627.347829213708,646904.6610698549,-3.541259207462048e-08,193841.23602976234,884221453.7232
29,-62441.214327653244,205391.47135617645,-45010.27813270312,246441.9353340221,1.301637035338209e-07,-1558.0274804893218,883588758.6911625
30,-764659.6642424639,4519458.045967672,-2265956.7082648147,8230573.02630819,1.1280176996833814e-07,-783140.926616752,883308337.2278469
31,7.001638743808674,6679427.311466897,-1966556.2503846548,13312010.439824507,8.589747557295142e-08,35204.958318385594,875026443.0421468
32,-27712.944411698983,5404900.393947723,-1515755.122307607,11067620.24396896,-5.4781564803654776e-08,38899.562732750805,864029840.0613302
33,-547841.2798510006,5553464.486129718,-2157007.8026539097,10507426.223252859,2.015138271333302e-08,-301381.26503108745,855002395.9276458
34,-3884.0363049315056,6122985.732526245,-1690507.562909319,12581816.802845096,1.3678243786913274e-07,24651.23655572096,845468835.3991865
35,-339231.64397779066,4812468.597802115,-1658958.0725429128,9540201.993224397,1.811934380852084e-08,-131845.44079592646,835256912.7136158
36,-593779.2594414814,6091492.502329292,-2330648.1539493673,11651712.811912965,1.3938963041199255e-07,-365544.66208052286,827015559.8394442
37,-432490.1075192386,8423871.87147421,-2872385.1400970453,16845304.137709502,1.3668792998202588e-07,-380511.57046099793,816498971.1445873
38,-400261.5753169836,6617918.402480961,-2043405.7539797786,13630325.874075178,1.4090984864367194e-07,-115041.99695609669,802021689.7309567
39,-465467.8290220285,6070385.44077125,-2194554.2423939398,12015297.40488102,-1.705377807029855e-08,-197888.05529318927,790618212.9295521
40,-330213.12313404033,5716811.925664176,-1840976.907994504,11582369.855894892,1.0804508883415818e-07,-130831.80368422008,780146416.4433714
41,-914542.0496461447,8436768.928360133,-3476130.5729081384,16254827.072637808,-8.785533246819013e-08,-737135.7479469137,770345814.6351855
42,-508206.165042124,8217855.297505581,-2523462.1247181604,17047620.611076012,1.3837754701450366e-07,-244953.60389472262,755436112.4494358
43,-412962.84496415046,7346740.831757424,-2588376.2966357223,14534703.309503777,1.332498762561058e-07,-105023.33490916717,741165063.5483174
44,-721223.8745562375,8339935.563405492,-3025615.440239271,16594937.146764355,-6.133068150754364e-08,-510041.4217807628,728671160.2394322
45,-641520.7262857804,8207291.2547174245,-2816799.486338783,16463903.775017036,9.89672953086581e-08,-304620.8932183064,714075283.5160592
46,-615277.0964747218,8859554.965170937,-3128732.3630799185,17799915.785932712,-1.1351463798859764e-07,-394626.21682018624,699858215.4482704
47,-691065.1021045054,8451842.52574556,-2958885.4072093614,16948985.676043164,8.258439230028978e-08,-345845.3701049059,684459162.2345312
48,-645148.1664566295,8581132.143338103,-3003054.259719317,17257411.679948516,7.831515677217028e-08,-357428.85576681554,669760850.1939274
49,-611444.8515941623,7863005.396824759,-2695945.301586885,15818398.352991445,-5.749554639509556e-08,-262921.7281030783,654838762.6413127
50,-631035.6423051511,7920357.692701933,-2807712.3801865815,15843930.134190077,-2.321462367623538e-08,-341554.6912360479,641212904.8257625
51,-635880.4984069028,7929562.305866157,-2779386.026972453,15874782.333269559,-9.278715246994377e-08,-332278.67738922755,627440609.5554526
52,-633587.4963575337,7907360.065170797,-2770009.978739538,15837358.855472844,-4.155385325999695e-08,-329851.5935614063,613664664.6345004
53,-635695.2483989814,7908234.433497937,-2777267.9465079587,15819458.363219097,7.147889217049964e-08,-330043.47425616067,599925580.6398493
54,-631519.8367090194,7932591.8626510305,-2777408.085480996,15881875.704106938,1.386325544087035e-07,-330778.77023409866,586190230.9069092
55,-636020.5413876498,7924444.978554704,-2779323.2986255805,15859159.262407022,-1.3407482494244283e-07,-331333.013651749,572413143.7773181
56,-631495.4469785108,7941690.789428501,-2781770.6722391513,15901521.902666708,-2.6492348309770896e-08,-330712.39878770843,558648003.2300047
57,-633409.5835478642,7928246.123640429,-2779043.8628395377,15864610.722061196,1.4131642086517929e-07,-328373.42158565804,544854407.6249543
58,-628221.4469624166,7946922.17541842,-2780882.2439642847,15914770.034268456,-1.0279862831963193e-07,-329557.7330133851,531087565.76811695
59,-622707.8676995805,7889842.085306149,-2757291.0927782413,15791412.806643426,-6.014766194981894e-08,-317914.78622188023,517287388.9513034
60,-619011.0528530942,7916471.700448971,-2766958.7239597645,15896156.228126902,1.1350311796939042e-07,-335688.14819665364,503597804.63197875
61,-652077.6123358618,8093177.176419958,-2877966.097778383,16181048.17558753,1.3502902316956235e-07,-361826.8045955323,489830661.705186
62,-603703.8415373486,7764223.23005956,-2666224.9854007894,15634701.39594825,-3.531917306645632e-08,-290953.29037942557,475747613.7718273
63,-582992.811095973,9307241.663067449,-3366635.95412865,18595424.99348651,1.2528636726614504e-07,-442501.76064731524,462267710.4001646
64,-405896.2117600406,6816802.01602223,-2019359.0325177263,14223742.061555361,1.1930701388282212e-07,-56291.03952150645,446120311.8089516
65,-338948.39592714526,5984207.005722869,-2098873.982168537,12534247.495799545,-9.309927608404412e-09,-239572.44569073306,434359266.6282631
66,-749537.1565091816,8046735.324878104,-3322953.999845049,15965618.582526222,9.423142520149593e-08,-665467.4206034578,423761341.9656087
67,-677840.7488951505,8518903.059283698,-2999819.4764735657,17052267.240614865,-1.1582079589302592e-07,-357171.9944197079,409386185.72342765
68,-631556.2019612788,8714060.473299164,-3032336.9860117324,17567974.28179069,-7.712268078498924e-08,-364378.66072703025,394583184.4635841
69,-623855.2686283621,7990954.081526557,-2759945.932560076,16041594.62906014,4.402669835858816e-09,-269382.75218487333,379428031.16168916
70,-1095398.857692787,9626933.406399598,-3785938.574372503,18712533.533634927,-1.1341982143976792e-07,-713191.8323786828,365585164.8297092
71,-1010048.7576097785,8153484.626907332,-2733297.445343606,15604614.875555048,-1.2962846828816514e-07,-176271.109697691,348618166.72746986
72,-412446.9364669575,2151662.5343843834,53278.02493034042,4433256.438928954,1.3674225643927404e-07,475670.48145761027,334779308.3199131
73,198890.16562291968,-38910.86936091986,392118.74961926416,10684.844780707994,-1.38419223736202e-07,390282.47239483683,331016151.1118289
74,-180772.40011560224,1422478.256137436,-712358.1627984488,3292900.9418155733,-1.2169936751454773e-07,-436075.2921101438,330500707.56093955
75,-1081814.3432448844,7088630.230128984,-3642456.193374367,12413050.423142364,-5.480369763678884e-08,-917783.0984710982,327478415.0344509
76,-246803.29315961836,4517361.337559566,-602690.5582482747,9429746.51850138,-5.124133454163605e-08,321027.6335491017,314906547.89027
77,-447161.0376730655,3626849.7114278255,-1366682.1939658925,7280664.957069425,6.086480913583901e-08,-252563.3513000162,307347733.219761
78,-694955.8570581793,6525188.4783352865,-2725772.654953162,12512543.868471334,-5.0555426118393106e-08,-570231.4706302435,300860772.5940429
79,-62345.247261106415,5577246.800131651,-1408287.860647027,11791799.283338787,-5.551889635387687e-09,97093.67879752142,289346426.4293188
80,-722166.676068496,6879672.927647249,-2905581.981544009,13309503.1502787,9.209996865925853e-08,-586930.2700703411,279878039.99423075
81,-602388.7060308116,9038698.201021327,-3185490.1894809827,17878002.811393805,-7.65220158564792e-08,-409004.0420446086,267676112.4914263
82,-832392.9820075663,7966852.372961855,-2733993.0769036957,15843887.968339555,-4.457917376398201e-08,-352784.33279717294,252119320.51644048
83,-538976.8549360585,9280087.335737167,-3223923.3760093735,18374754.53745238,-1.1883999674625012e-07,-294496.06594795006,238254365.14993554
84,-350650.46319765516,7780437.443609137,-2332357.460727969,15970707.332628945,6.507862681042764e-08,-77307.25295243968,222398246.06489402
85,-607746.3278194112,7008341.936007481,-2552931.095195554,13868043.443505712,-1.0441110623833136e-07,-292833.1322957351,209142516.0883359
86,-733945.9026429523,9364283.833050534,-3483156.9179451,18517693.90511512,-1.204864422373373e-07,-575346.3025060607,196977568.1209239
87,-587620.7992506818,8780595.815887848,-2863999.0785168307,17899015.24840287,-8.060139716484048e-08,-273251.6830359876,180640354.69029397
88,-788541.0517318597,9817423.399734683,-3692963.8944044514,19071410.96867578,1.2333591449537906e-07,-443705.49081740755,165438113.37774682
89,-819407.9061372756,7855839.8517296845,-2461424.62129322,15759889.336684238,-3.3776693025408404e-08,-226593.37904216204,148531090.97506467
90,-1418201.2989675924,9858322.761335965,-4097899.9023204953,18057304.473891668,9.502063966582775e-08,-708766.1967327236,134969513.42762136
91,-711562.5963577782,7655428.862933888,-1858921.5805893685,15993386.719610669,6.57560502638047e-08,-76204.05126799588,117899266.11099711
92,-1135031.9133581484,9095094.703135267,-3840953.365299276,16528516.027531996,-1.2250877546726412e-07,-509234.7916226584,104751514.20561723
93,-155573.2176456399,10989017.414259408,-2999046.784092385,22747138.826168876,-1.3027996129071882e-07,-124789.58248420488,89197098.8051435
94,-594454.4955918345,9064676.206598107,-3155225.6524996753,18778599.918056943,8.648672576128574e-08,-420705.42645773577,70689315.89281818
95,-640815.8962320633,9131018.390085211,-3405410.189472936,17824379.21236407,1.357543046839011e-07,-269443.3238770334,54682485.04321599
96,-913993.2059019817,9539121.61716751,-3385790.2479673075,17902274.222780343,-9.874444080687176e-08,-286035.7719420937,39046951.537200265
97,816749.8792412257,-1541485.4397901196,2718551.230621205,2.208559239719602e-09,-3.294225563565736e-08,1222891.057225376,23033344.0043206
98,-2567715.290407359,6864501.309521759,-5887505.700304298,5923111.655862127,7.973863047394353e-08,-1350244.5300454572,19883505.20088162
99,-36976.479395739465,3017466.974978008,2372292.6510647596,9133368.162129587,-2.869511377065606e-08,612488.5605438388,8586965.95781108
100,260803.60634946538,-671632.2374154234,-150500.2772140387,-744059.9120469218,-4.34224538788581e-08,174343.05448430832,1000669.5437551005
